,trade_date
734,1993-11-04
735,1993-11-05
736,1993-11-08
737,1993-11-09
738,1993-11-10
739,1993-11-11
740,1993-11-12
741,1993-11-15
742,1993-11-16
743,1993-11-17
744,1993-11-18
745,1993-11-19
746,1993-11-22
747,1993-11-23
748,1993-11-24
749,1993-11-25
750,1993-11-26
751,1993-11-29
752,1993-11-30
753,1993-12-01
754,1993-12-02
755,1993-12-03
756,1993-12-06
757,1993-12-07
758,1993-12-08
759,1993-12-09
760,1993-12-10
761,1993-12-13
762,1993-12-14
763,1993-12-15
764,1993-12-16
765,1993-12-17
766,1993-12-20
767,1993-12-21
768,1993-12-22
769,1993-12-23
770,1993-12-24
771,1993-12-27
772,1993-12-28
773,1993-12-29
774,1993-12-30
775,1993-12-31
776,1994-01-03
777,1994-01-04
778,1994-01-05
779,1994-01-06
780,1994-01-07
781,1994-01-10
782,1994-01-11
783,1994-01-12
784,1994-01-13
785,1994-01-14
786,1994-01-17
787,1994-01-18
788,1994-01-19
789,1994-01-20
790,1994-01-21
791,1994-01-24
792,1994-01-25
793,1994-01-26
794,1994-01-27
795,1994-01-28
796,1994-01-31
797,1994-02-01
798,1994-02-02
799,1994-02-03
800,1994-02-04
801,1994-02-14
802,1994-02-15
803,1994-02-16
804,1994-02-17
805,1994-02-18
806,1994-02-21
807,1994-02-22
808,1994-02-23
809,1994-02-24
810,1994-02-25
811,1994-02-28
812,1994-03-01
813,1994-03-02
814,1994-03-03
815,1994-03-04
816,1994-03-07
817,1994-03-08
818,1994-03-09
819,1994-03-10
820,1994-03-11
821,1994-03-14
822,1994-03-15
823,1994-03-16
824,1994-03-17
825,1994-03-18
826,1994-03-21
827,1994-03-22
828,1994-03-23
829,1994-03-24
830,1994-03-25
831,1994-03-28
832,1994-03-29
833,1994-03-30
834,1994-03-31
835,1994-04-01
836,1994-04-04
837,1994-04-05
838,1994-04-06
839,1994-04-07
840,1994-04-08
841,1994-04-11
842,1994-04-12
843,1994-04-13
844,1994-04-14
845,1994-04-15
846,1994-04-18
847,1994-04-19
848,1994-04-20
849,1994-04-21
850,1994-04-22
851,1994-04-25
852,1994-04-26
853,1994-04-27
854,1994-04-28
855,1994-04-29
856,1994-05-03
857,1994-05-04
858,1994-05-05
859,1994-05-06
860,1994-05-09
861,1994-05-10
862,1994-05-11
863,1994-05-12
864,1994-05-13
865,1994-05-16
866,1994-05-17
867,1994-05-18
868,1994-05-19
869,1994-05-20
870,1994-05-23
871,1994-05-24
872,1994-05-25
873,1994-05-26
874,1994-05-27
875,1994-05-30
876,1994-05-31
877,1994-06-01
878,1994-06-02
879,1994-06-03
880,1994-06-06
881,1994-06-07
882,1994-06-08
883,1994-06-09
884,1994-06-10
885,1994-06-13
886,1994-06-14
887,1994-06-15
888,1994-06-16
889,1994-06-17
890,1994-06-20
891,1994-06-21
892,1994-06-22
893,1994-06-23
894,1994-06-24
895,1994-06-27
896,1994-06-28
897,1994-06-29
898,1994-06-30
899,1994-07-01
900,1994-07-04
901,1994-07-05
902,1994-07-06
903,1994-07-07
904,1994-07-08
905,1994-07-11
906,1994-07-12
907,1994-07-13
908,1994-07-14
909,1994-07-15
910,1994-07-18
911,1994-07-19
912,1994-07-20
913,1994-07-21
914,1994-07-22
915,1994-07-25
916,1994-07-26
917,1994-07-27
918,1994-07-28
919,1994-07-29
920,1994-08-01
921,1994-08-02
922,1994-08-03
923,1994-08-04
924,1994-08-05
925,1994-08-08
926,1994-08-09
927,1994-08-10
928,1994-08-11
929,1994-08-12
930,1994-08-15
931,1994-08-16
932,1994-08-17
933,1994-08-18
934,1994-08-19
935,1994-08-22
936,1994-08-23
937,1994-08-24
938,1994-08-25
939,1994-08-26
940,1994-08-29
941,1994-08-30
942,1994-08-31
943,1994-09-01
944,1994-09-02
945,1994-09-05
946,1994-09-06
947,1994-09-07
948,1994-09-08
949,1994-09-09
950,1994-09-12
951,1994-09-13
952,1994-09-14
953,1994-09-15
954,1994-09-16
955,1994-09-19
956,1994-09-20
957,1994-09-21
958,1994-09-22
959,1994-09-23
960,1994-09-26
961,1994-09-27
962,1994-09-28
963,1994-09-29
964,1994-09-30
965,1994-10-05
966,1994-10-06
967,1994-10-07
968,1994-10-10
969,1994-10-11
970,1994-10-12
971,1994-10-13
972,1994-10-14
973,1994-10-17
974,1994-10-18
975,1994-10-19
976,1994-10-20
977,1994-10-21
978,1994-10-24
979,1994-10-25
980,1994-10-26
981,1994-10-27
982,1994-10-28
983,1994-10-31
984,1994-11-01
985,1994-11-02
986,1994-11-03
987,1994-11-04
988,1994-11-07
989,1994-11-08
990,1994-11-09
991,1994-11-10
992,1994-11-11
993,1994-11-14
994,1994-11-15
995,1994-11-16
996,1994-11-17
997,1994-11-18
998,1994-11-21
999,1994-11-22
1000,1994-11-23
1001,1994-11-24
1002,1994-11-25
1003,1994-11-28
1004,1994-11-29
1005,1994-11-30
1006,1994-12-01
1007,1994-12-02
1008,1994-12-05
1009,1994-12-06
1010,1994-12-07
1011,1994-12-08
1012,1994-12-09
1013,1994-12-12
1014,1994-12-13
1015,1994-12-14
1016,1994-12-15
1017,1994-12-16
1018,1994-12-19
1019,1994-12-20
1020,1994-12-21
1021,1994-12-22
1022,1994-12-23
1023,1994-12-26
1024,1994-12-27
1025,1994-12-28
1026,1994-12-29
1027,1994-12-30
1028,1995-01-03
1029,1995-01-04
1030,1995-01-05
1031,1995-01-06
1032,1995-01-09
1033,1995-01-10
1034,1995-01-11
1035,1995-01-12
1036,1995-01-13
1037,1995-01-16
1038,1995-01-17
1039,1995-01-18
1040,1995-01-19
1041,1995-01-20
1042,1995-01-23
1043,1995-01-24
1044,1995-01-25
1045,1995-01-26
1046,1995-01-27
1047,1995-02-06
1048,1995-02-07
1049,1995-02-08
1050,1995-02-09
1051,1995-02-10
1052,1995-02-13
1053,1995-02-14
1054,1995-02-15
1055,1995-02-16
1056,1995-02-17
1057,1995-02-20
1058,1995-02-21
1059,1995-02-22
1060,1995-02-23
1061,1995-02-24
1062,1995-02-27
1063,1995-02-28
1064,1995-03-01
1065,1995-03-02
1066,1995-03-03
1067,1995-03-06
1068,1995-03-07
1069,1995-03-08
1070,1995-03-09
1071,1995-03-10
1072,1995-03-13
1073,1995-03-14
1074,1995-03-15
1075,1995-03-16
1076,1995-03-17
1077,1995-03-20
1078,1995-03-21
1079,1995-03-22
1080,1995-03-23
1081,1995-03-24
1082,1995-03-27
1083,1995-03-28
1084,1995-03-29
1085,1995-03-30
1086,1995-03-31
1087,1995-04-03
1088,1995-04-04
1089,1995-04-05
1090,1995-04-06
1091,1995-04-07
1092,1995-04-10
1093,1995-04-11
1094,1995-04-12
1095,1995-04-13
1096,1995-04-14
1097,1995-04-17
1098,1995-04-18
1099,1995-04-19
1100,1995-04-20
1101,1995-04-21
1102,1995-04-24
1103,1995-04-25
1104,1995-04-26
1105,1995-04-27
1106,1995-04-28
1107,1995-05-02
1108,1995-05-03
1109,1995-05-04
1110,1995-05-05
1111,1995-05-08
1112,1995-05-09
1113,1995-05-10
1114,1995-05-11
1115,1995-05-12
1116,1995-05-15
1117,1995-05-16
1118,1995-05-17
1119,1995-05-18
1120,1995-05-19
1121,1995-05-22
1122,1995-05-23
1123,1995-05-24
1124,1995-05-25
1125,1995-05-26
1126,1995-05-29
1127,1995-05-30
1128,1995-05-31
1129,1995-06-01
1130,1995-06-02
1131,1995-06-05
1132,1995-06-06
1133,1995-06-07
1134,1995-06-08
1135,1995-06-09
1136,1995-06-12
1137,1995-06-13
1138,1995-06-14
1139,1995-06-15
1140,1995-06-16
1141,1995-06-19
1142,1995-06-20
1143,1995-06-21
1144,1995-06-22
1145,1995-06-23
1146,1995-06-26
1147,1995-06-27
1148,1995-06-28
1149,1995-06-29
1150,1995-06-30
1151,1995-07-03
1152,1995-07-04
1153,1995-07-05
1154,1995-07-06
1155,1995-07-07
1156,1995-07-10
1157,1995-07-11
1158,1995-07-12
1159,1995-07-13
1160,1995-07-14
1161,1995-07-17
1162,1995-07-18
1163,1995-07-19
1164,1995-07-20
1165,1995-07-21
1166,1995-07-24
1167,1995-07-25
1168,1995-07-26
1169,1995-07-27
1170,1995-07-28
1171,1995-07-31
1172,1995-08-01
1173,1995-08-02
1174,1995-08-03
1175,1995-08-04
1176,1995-08-07
1177,1995-08-08
1178,1995-08-09
1179,1995-08-10
1180,1995-08-11
1181,1995-08-14
1182,1995-08-15
1183,1995-08-16
1184,1995-08-17
1185,1995-08-18
1186,1995-08-21
1187,1995-08-22
1188,1995-08-23
1189,1995-08-24
1190,1995-08-25
1191,1995-08-28
1192,1995-08-29
1193,1995-08-30
1194,1995-08-31
1195,1995-09-01
1196,1995-09-04
1197,1995-09-05
1198,1995-09-06
1199,1995-09-07
1200,1995-09-08
1201,1995-09-11
1202,1995-09-12
1203,1995-09-13
1204,1995-09-14
1205,1995-09-15
1206,1995-09-18
1207,1995-09-19
1208,1995-09-20
1209,1995-09-21
1210,1995-09-22
1211,1995-09-25
1212,1995-09-26
1213,1995-09-27
1214,1995-09-28
1215,1995-09-29
1216,1995-10-04
1217,1995-10-05
1218,1995-10-06
1219,1995-10-09
1220,1995-10-10
1221,1995-10-11
1222,1995-10-12
1223,1995-10-13
1224,1995-10-16
1225,1995-10-17
1226,1995-10-18
1227,1995-10-19
1228,1995-10-20
1229,1995-10-23
1230,1995-10-24
1231,1995-10-25
1232,1995-10-26
1233,1995-10-27
1234,1995-10-30
1235,1995-10-31
1236,1995-11-01
1237,1995-11-02
1238,1995-11-03
1239,1995-11-06
1240,1995-11-07
1241,1995-11-08
1242,1995-11-09
1243,1995-11-10
1244,1995-11-13
1245,1995-11-14
1246,1995-11-15
1247,1995-11-16
1248,1995-11-17
1249,1995-11-20
1250,1995-11-21
1251,1995-11-22
1252,1995-11-23
1253,1995-11-24
1254,1995-11-27
1255,1995-11-28
1256,1995-11-29
1257,1995-11-30
1258,1995-12-01
1259,1995-12-04
1260,1995-12-05
1261,1995-12-06
1262,1995-12-07
1263,1995-12-08
1264,1995-12-11
1265,1995-12-12
1266,1995-12-13
1267,1995-12-14
1268,1995-12-15
1269,1995-12-18
1270,1995-12-19
1271,1995-12-20
1272,1995-12-21
1273,1995-12-22
1274,1995-12-25
1275,1995-12-26
1276,1995-12-27
1277,1995-12-28
1278,1995-12-29
1279,1996-01-02
1280,1996-01-03
1281,1996-01-04
1282,1996-01-05
1283,1996-01-08
1284,1996-01-09
1285,1996-01-10
1286,1996-01-11
1287,1996-01-12
1288,1996-01-15
1289,1996-01-16
1290,1996-01-17
1291,1996-01-18
1292,1996-01-19
1293,1996-01-22
1294,1996-01-23
1295,1996-01-24
1296,1996-01-25
1297,1996-01-26
1298,1996-01-29
1299,1996-01-30
1300,1996-01-31
1301,1996-02-01
1302,1996-02-02
1303,1996-02-05
1304,1996-02-06
1305,1996-02-07
1306,1996-02-08
1307,1996-02-09
1308,1996-02-12
1309,1996-02-13
1310,1996-02-14
1311,1996-02-15
1312,1996-02-16
1313,1996-03-04
1314,1996-03-05
1315,1996-03-06
1316,1996-03-07
1317,1996-03-08
1318,1996-03-11
1319,1996-03-12
1320,1996-03-13
1321,1996-03-14
1322,1996-03-15
1323,1996-03-18
1324,1996-03-19
1325,1996-03-20
1326,1996-03-21
1327,1996-03-22
1328,1996-03-25
1329,1996-03-26
1330,1996-03-27
1331,1996-03-28
1332,1996-03-29
1333,1996-04-01
1334,1996-04-02
1335,1996-04-03
1336,1996-04-04
1337,1996-04-05
1338,1996-04-08
1339,1996-04-09
1340,1996-04-10
1341,1996-04-11
1342,1996-04-12
1343,1996-04-15
1344,1996-04-16
1345,1996-04-17
1346,1996-04-18
1347,1996-04-19
1348,1996-04-22
1349,1996-04-23
1350,1996-04-24
1351,1996-04-25
1352,1996-04-26
1353,1996-04-29
1354,1996-04-30
1355,1996-05-02
1356,1996-05-03
1357,1996-05-06
1358,1996-05-07
1359,1996-05-08
1360,1996-05-09
1361,1996-05-10
1362,1996-05-13
1363,1996-05-14
1364,1996-05-15
1365,1996-05-16
1366,1996-05-17
1367,1996-05-20
1368,1996-05-21
1369,1996-05-22
1370,1996-05-23
1371,1996-05-24
1372,1996-05-27
1373,1996-05-28
1374,1996-05-29
1375,1996-05-30
1376,1996-05-31
1377,1996-06-03
1378,1996-06-04
1379,1996-06-05
1380,1996-06-06
1381,1996-06-07
1382,1996-06-10
1383,1996-06-11
1384,1996-06-12
1385,1996-06-13
1386,1996-06-14
1387,1996-06-17
1388,1996-06-18
1389,1996-06-19
1390,1996-06-20
1391,1996-06-21
1392,1996-06-24
1393,1996-06-25
1394,1996-06-26
1395,1996-06-27
1396,1996-06-28
1397,1996-07-01
1398,1996-07-02
1399,1996-07-03
1400,1996-07-04
1401,1996-07-05
1402,1996-07-08
1403,1996-07-09
1404,1996-07-10
1405,1996-07-11
1406,1996-07-12
1407,1996-07-15
1408,1996-07-16
1409,1996-07-17
1410,1996-07-18
1411,1996-07-19
1412,1996-07-22
1413,1996-07-23
1414,1996-07-24
1415,1996-07-25
1416,1996-07-26
1417,1996-07-29
1418,1996-07-30
1419,1996-07-31
1420,1996-08-01
1421,1996-08-02
1422,1996-08-05
1423,1996-08-06
1424,1996-08-07
1425,1996-08-08
1426,1996-08-09
1427,1996-08-12
1428,1996-08-13
1429,1996-08-14
1430,1996-08-15
1431,1996-08-16
1432,1996-08-19
1433,1996-08-20
1434,1996-08-21
1435,1996-08-22
1436,1996-08-23
1437,1996-08-26
1438,1996-08-27
1439,1996-08-28
1440,1996-08-29
1441,1996-08-30
1442,1996-09-02
1443,1996-09-03
1444,1996-09-04
1445,1996-09-05
1446,1996-09-06
1447,1996-09-09
1448,1996-09-10
1449,1996-09-11
1450,1996-09-12
1451,1996-09-13
1452,1996-09-16
1453,1996-09-17
1454,1996-09-18
1455,1996-09-19
1456,1996-09-20
1457,1996-09-23
1458,1996-09-24
1459,1996-09-25
1460,1996-09-26
1461,1996-09-27
1462,1996-10-03
1463,1996-10-04
1464,1996-10-07
1465,1996-10-08
1466,1996-10-09
1467,1996-10-10
1468,1996-10-11
1469,1996-10-14
1470,1996-10-15
1471,1996-10-16
1472,1996-10-17
1473,1996-10-18
1474,1996-10-21
1475,1996-10-22
1476,1996-10-23
1477,1996-10-24
1478,1996-10-25
1479,1996-10-28
1480,1996-10-29
1481,1996-10-30
1482,1996-10-31
1483,1996-11-01
1484,1996-11-04
1485,1996-11-05
1486,1996-11-06
1487,1996-11-07
1488,1996-11-08
1489,1996-11-11
1490,1996-11-12
1491,1996-11-13
1492,1996-11-14
1493,1996-11-15
1494,1996-11-18
1495,1996-11-19
1496,1996-11-20
1497,1996-11-21
